"Y","ID","Operator","Date","Priority","Price","Speed","Duration","Temp","Location","Agreed","State","Class","Surface","sensor1","sensor2","sensor3","sensor4","sensor5","sensor6","sensor7","sensor8","sensor9","sensor10","sensor11","sensor12","sensor13","sensor14","sensor15","sensor16","sensor17","sensor18","sensor19","sensor20","sensor21","sensor22","sensor23","sensor24","sensor25","sensor26","sensor27","sensor28","sensor29","sensor30"
30.5413173294374,"G9937","IK",2018-01-12,"Medium","Cheap","Medium","Long","Cold","Storage tanks","No","Uncertain","Wooden","Smooth",24.0896192171974,14.1328861087475,14.8589609965462,14.7412659942828,10.6025711627715,NA,14.8321014362498,14.7014192507635,21.4609402127497,18.0335644738226,58.9645988960095,61.9759779970048,42.712443001338,34.1693861509465,45.3988163502821,42.2081926341806,42.1772316103957,53.0932809280534,61.2333842964209,47.0472007133201,-43.0256801336998,-51.9005361910203,-30.7596846596294,-38.0142740403997,-44.48521257254,-12.2511267441783,-32.8584987551649,-33.3722271972118,-33.8656558730236,-26.2914031667744
11.9422836522286,"G9938","IK",2018-01-18,"Medium","Expensive","Medium","Very Long","Cold","Storage tanks","Yes","Checked","Ceramic","Rough",27.8688887095616,31.1240533579138,30.8660829041351,27.3531173428781,32.2486776828339,30.9670048471728,33.0467712695755,24.1735330579394,31.9550654452653,25.5532974450389,80.9956296623636,88.4969825838086,88.6155930868193,97.327117992026,105.269995921784,80.976998213315,86.6559490359119,96.9793465439235,94.9645525099231,89.4946066641424,-24.2455261154085,2.9827784942409,5.33424061149146,5.25083055166603,-6.97312008759239,-10.1922414241655,-7.3022022214016,-27.8412024948585,-8.93218215686397,9.42132444301616
1.31680605152961,"G9939","IK",2018-01-26,"Medium","Expensive","Fast","Very Long","Warm","Storage tanks","No","Uncertain","Metal","Rough",8.02781728219687,7.08571762442048,-12.4780387976849,-3.52557445585347,13.2850627440278,0.236974567150627,5.77326816540313,4.36628802550987,-3.47911260467319,-11.2966665029532,62.4003569478402,85.9394812562761,69.3498164362535,76.7675548843525,74.2485537787509,68.6015414895884,78.7013195794614,105.053557752929,77.4618998241947,91.634327918926,73.9827538248063,62.8455365549764,73.1945283941507,58.3572577626473,61.1295744979694,54.7856731395973,66.7387186299897,84.5668415930429,76.7082935404605,59.6958334336954
25.5770467902219,"G9940","OL",2018-02-01,"Low","Expensive","Medium","Long","Warm","Steam plant","No","Checked","Ceramic","Rough",9.71901588733392,20.6651227183653,19.9621912098622,21.1284058995243,18.9047923723629,26.8346904054917,28.0660005202656,17.5420426428566,15.6789378992249,19.2464551999418,54.8601984768009,45.2395567549858,37.5543116126521,44.3490722930251,63.229958405794,43.1586260655603,45.3883280997406,43.5819711646502,27.9281619775431,48.9865875147444,-15.696574570068,-11.8961355200236,-22.7378374711514,-11.3216049533588,-4.0121808872982,-25.4116070213005,-31.0520417664791,-42.7548453942082,-33.334005862995,-17.4525615893571
11.2554189223653,"G9941","IK",2018-02-09,"High","Cheap","Slow","Very Long",NA,"Steam plant","Yes","Uncertain",NA,"Smooth",13.0013723773157,14.5831739800182,5.39602682923057,15.1993050741141,16.7979465790564,13.9778429632174,16.6638109049485,15.0730903121037,8.69264702592174,8.9256546823628,76.5421618264607,64.04451959472,80.858762522074,64.2687119288273,83.2054298925219,78.7356871255456,NA,83.4803487869795,64.4771698863574,70.4192728873316,32.7904338183325,39.3812342499144,36.8843906209658,39.9745143500767,NA,NA,15.9536119271293,26.1335184187197,38.8665784618786,18.023703382463
20.9269109464058,"G9942","IK",2018-02-15,"Medium","Fair","Medium","Very Long","Hot","Steam plant","Yes","Under review","Ceramic","Textured",44.9533679227566,44.2440726944006,44.3514802437009,33.5935067223951,33.3447214131588,31.6558589325143,42.8153875113203,37.7631741605964,41.9151502524105,39.1545880993331,104.112425519461,102.681770893342,95.7344811690409,96.116215200626,70.0525124045595,85.4137474182287,90.3839647395607,85.2110578081731,85.8831828441131,97.5204501126597,21.3922017604463,19.5461973218529,18.5000530154396,14.1001939958807,24.9918719877455,29.1982300371948,24.3485847152435,17.7003621776214,14.1088698847414,3.55620021530235
36.3671336679144,"G9943","IK",2018-02-22,"Medium","Cheap","Medium","Long","Hot","Steam plant","Yes","Under review","Wooden","Rough",34.9004132745138,39.9461610554585,38.8374234982068,39.2879820530758,29.8404620230085,33.3167001195013,37.7128958078977,41.0487807914991,33.1355678350445,34.199437376971,62.1369537405431,55.5930979552272,61.2675617217,73.0035691007995,63.7159106223693,60.6346120704804,57.4212487824989,50.1323645220024,57.7206378243341,58.9079207122978,55.3340862569214,72.3219250744797,66.653989121615,69.5031741443248,67.7382282798057,74.8095446115087,98.2917440822711,80.4877842351808,74.9804110806614,70.4344896929149
26.2724576044825,"G9944","IK",2018-03-01,"Low","Expensive","Medium","Long","Hot","Control room","Yes","Under review","Plastic","Rough",NA,23.7713460911331,14.1002335990555,25.6216578630585,28.6808300430621,NA,NA,16.906136068357,NA,26.2021832075985,86.8385247008394,67.0568790284515,82.5574269409123,76.4719204183158,92.4986853278147,NA,86.5977436935191,82.6024963069863,86.2088424269541,82.9628781494075,68.1831618793251,62.9649882126747,83.3415323092796,88.5425246089168,69.8821530650023,96.5115173186703,115.596511200775,74.1748779194936,95.8414776634021,NA
10.1360147193365,"G9945","IK",2018-03-08,"Low","Expensive","Fast","Short","Cold","Control room","No","Under review","Ceramic","Textured",19.4648167264276,20.1018195074985,17.9581034989263,9.2724306721564,19.0260814852966,11.4769971498993,19.1865404858095,6.48447101123725,19.8120384792094,19.3969567261965,55.1750420128658,44.9777378746581,44.9292726818,50.706938523517,56.7849650541637,45.66373870376,38.9918532219942,50.9878649143248,56.3848262515168,52.4771050523284,-44.5601529629505,-37.4976910714966,-47.738586353435,-62.8796997935898,-48.1136904698042,-44.7571446415643,-29.5902823212464,-62.0859079431116,-61.5069732049133,-24.747750332034
26.8682136917561,"G9946","HN",2018-03-15,"Medium","Expensive","Medium","Long","Warm","Storage tanks","No","Checked","Wooden","Textured",19.9606642530155,21.1399178810764,12.2900801837496,21.0012729570201,15.7976762992778,NA,14.8989682458275,25.7274000637539,19.7364593049178,20.1133300918689,100.9738133384,101.072206930202,107.875860460819,92.7160583087766,88.0291598451255,93.4177405067149,86.8470327225993,98.6282834268384,93.20025236947,78.9214902741739,113.260697464244,95.7154205453524,84.6173421545488,101.864028596546,91.3864480940375,116.358876980259,73.8891458407292,97.8554737007459,98.3867816116668,89.8437468084706
